fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
0.85,10000,10,1,majority,0.0,2,2
0.891,10000,10,1,plurality,0.0,2,2
0.902,10000,10,1,majority,0.0,2,2
0.848,10000,10,1,plurality,0.0,2,2
0.846,10000,10,1,majority,0.0,2,2
0.921,10000,10,1,plurality,0.0,2,2
0.964,10000,10,1,majority,0.0,2,2
0.946,10000,10,1,plurality,0.0,2,2
0.926,10000,10,1,majority,0.0,2,2
0.776,10000,10,1,plurality,0.0,2,2
0.857,10000,10,1,majority,0.0,2,2
0.932,10000,10,1,plurality,0.0,2,2
0.848,10000,10,1,majority,0.0,2,2
0.959,10000,10,1,plurality,0.0,2,2
0.875,10000,10,1,majority,0.0,2,2
0.864,10000,10,1,plurality,0.0,2,2
0.894,10000,10,1,majority,0.0,2,2
1.0,10000,10,1,plurality,0.0,2,2
0.824,10000,10,1,majority,0.0,2,2
0.942,10000,10,1,plurality,0.0,2,2
0.876,10000,10,1,majority,0.0,2,2
1.062,10000,10,1,plurality,0.0,2,2
0.816,10000,10,1,majority,0.0,2,2
0.827,10000,10,1,plurality,0.0,2,2
0.997,10000,10,1,majority,0.0,2,2
0.912,10000,10,1,plurality,0.0,2,2
0.845,10000,10,1,majority,0.0,2,2
0.896,10000,10,1,plurality,0.0,2,2
0.984,10000,10,1,majority,0.0,2,2
0.9,10000,10,1,plurality,0.0,2,2
1.001,10000,10,1,majority,0.0,2,2
0.842,10000,10,1,plurality,0.0,2,2
0.904,10000,10,1,majority,0.0,2,2
0.898,10000,10,1,plurality,0.0,2,2
0.976,10000,10,1,majority,0.0,2,2
0.836,10000,10,1,plurality,0.0,2,2
0.887,10000,10,1,majority,0.0,2,2
0.943,10000,10,1,plurality,0.0,2,2
0.782,10000,10,1,majority,0.0,2,2
0.917,10000,10,1,plurality,0.0,2,2
0.915,10000,10,1,majority,0.0,2,2
0.835,10000,10,1,plurality,0.0,2,2
1.003,10000,10,1,majority,0.0,2,2
0.879,10000,10,1,plurality,0.0,2,2
0.903,10000,10,1,majority,0.0,2,2
0.919,10000,10,1,plurality,0.0,2,2
0.906,10000,10,1,majority,0.0,2,2
0.927,10000,10,1,plurality,0.0,2,2
0.901,10000,10,1,majority,0.0,2,2
0.862,10000,10,1,plurality,0.0,2,2
1.022,10000,10,1,majority,0.0,2,2
0.832,10000,10,1,plurality,0.0,2,2
1.014,10000,10,1,majority,0.0,2,2
0.899,10000,10,1,plurality,0.0,2,2
0.916,10000,10,1,majority,0.0,2,2
0.91,10000,10,1,plurality,0.0,2,2
0.93,10000,10,1,majority,0.0,2,2
0.9,10000,10,1,plurality,0.0,2,2
0.923,10000,10,1,majority,0.0,2,2
0.867,10000,10,1,plurality,0.0,2,2
1.0,10000,10,1,majority,0.0,2,2
1.064,10000,10,1,plurality,0.0,2,2
0.958,10000,10,1,majority,0.0,2,2
1.006,10000,10,1,plurality,0.0,2,2
0.9,10000,10,1,majority,0.0,2,2
0.917,10000,10,1,plurality,0.0,2,2
0.96,10000,10,1,majority,0.0,2,2
0.856,10000,10,1,plurality,0.0,2,2
0.934,10000,10,1,majority,0.0,2,2
0.884,10000,10,1,plurality,0.0,2,2
0.943,10000,10,1,majority,0.0,2,2
0.987,10000,10,1,plurality,0.0,2,2
0.866,10000,10,1,majority,0.0,2,2
0.836,10000,10,1,plurality,0.0,2,2
0.8,10000,10,1,majority,0.0,2,2
1.025,10000,10,1,plurality,0.0,2,2
0.953,10000,10,1,majority,0.0,2,2
0.83,10000,10,1,plurality,0.0,2,2
0.879,10000,10,1,majority,0.0,2,2
0.957,10000,10,1,plurality,0.0,2,2
0.933,10000,10,1,majority,0.0,2,2
0.947,10000,10,1,plurality,0.0,2,2
0.948,10000,10,1,majority,0.0,2,2
0.882,10000,10,1,plurality,0.0,2,2
0.851,10000,10,1,majority,0.0,2,2
0.895,10000,10,1,plurality,0.0,2,2
0.89,10000,10,1,majority,0.0,2,2
0.94,10000,10,1,plurality,0.0,2,2
0.79,10000,10,1,majority,0.0,2,2
0.876,10000,10,1,plurality,0.0,2,2
0.845,10000,10,1,majority,0.0,2,2
0.889,10000,10,1,plurality,0.0,2,2
1.098,10000,10,1,majority,0.0,2,2
0.854,10000,10,1,plurality,0.0,2,2
0.809,10000,10,1,majority,0.0,2,2
1.058,10000,10,1,plurality,0.0,2,2
0.91,10000,10,1,majority,0.0,2,2
0.988,10000,10,1,plurality,0.0,2,2
0.88,10000,10,1,majority,0.0,2,2
0.935,10000,10,1,plurality,0.0,2,2
0.974,10000,10,1,majority,0.0,2,2
0.839,10000,10,1,plurality,0.0,2,2
0.852,10000,10,1,majority,0.0,2,2
0.858,10000,10,1,plurality,0.0,2,2
0.865,10000,10,1,majority,0.0,2,2
0.843,10000,10,1,plurality,0.0,2,2
0.939,10000,10,1,majority,0.0,2,2
0.86,10000,10,1,plurality,0.0,2,2
0.864,10000,10,1,majority,0.0,2,2
0.924,10000,10,1,plurality,0.0,2,2
0.879,10000,10,1,majority,0.0,2,2
0.873,10000,10,1,plurality,0.0,2,2
0.949,10000,10,1,majority,0.0,2,2
0.93,10000,10,1,plurality,0.0,2,2
0.959,10000,10,1,majority,0.0,2,2
0.808,10000,10,1,plurality,0.0,2,2
1.04,10000,10,1,majority,0.0,2,2
0.897,10000,10,1,plurality,0.0,2,2
0.943,10000,10,1,majority,0.0,2,2
0.896,10000,10,1,plurality,0.0,2,2
0.901,10000,10,1,majority,0.0,2,2
0.866,10000,10,1,plurality,0.0,2,2
0.96,10000,10,1,majority,0.0,2,2
0.861,10000,10,1,plurality,0.0,2,2
0.993,10000,10,1,majority,0.0,2,2
0.993,10000,10,1,plurality,0.0,2,2
0.942,10000,10,1,majority,0.0,2,2
0.897,10000,10,1,plurality,0.0,2,2
