fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
1.242,10000,2,1,majority,0.05,4,2
0.999,10000,2,1,majority,0.05,4,12
1.13,10000,2,1,majority,0.05,4,22
0.869,10000,2,1,majority,0.05,5,2
0.791,10000,2,1,majority,0.05,5,12
0.963,10000,2,1,majority,0.05,5,22
1.876,10000,2,1,majority,0.05,6,2
1.089,10000,2,1,majority,0.05,6,12
0.961,10000,2,1,majority,0.05,6,22
1.094,10000,2,1,majority,0.05,7,2
1.012,10000,2,1,majority,0.05,7,12
1.126,10000,2,1,majority,0.05,7,22
0.803,10000,2,1,majority,0.05,8,2
1.107,10000,2,1,majority,0.05,8,12
1.15,10000,2,1,majority,0.05,8,22
0.834,10000,2,1,majority,0.05,9,2
1.013,10000,2,1,majority,0.05,9,12
1.281,10000,2,1,majority,0.05,9,22
0.684,10000,2,1,majority,0.05,10,2
1.38,10000,2,1,majority,0.05,10,12
0.971,10000,2,1,majority,0.05,10,22
0.809,10000,2,1,plurality,0.0,2,2
0.856,10000,2,1,plurality,0.0,2,12
0.96,10000,2,1,plurality,0.0,2,22
0.874,10000,2,1,plurality,0.0,3,2
0.944,10000,2,1,plurality,0.0,3,12
1.181,10000,2,1,plurality,0.0,3,22
1.63,10000,2,1,plurality,0.0,4,2
1.053,10000,2,1,plurality,0.0,4,12
1.024,10000,2,1,plurality,0.0,4,22
1.145,10000,2,1,plurality,0.0,5,2
1.024,10000,2,1,plurality,0.0,5,12
0.977,10000,2,1,plurality,0.0,5,22
1.141,10000,2,1,plurality,0.0,6,2
1.224,10000,2,1,plurality,0.0,6,12
1.139,10000,2,1,plurality,0.0,6,22
0.831,10000,2,1,plurality,0.0,7,2
1.087,10000,2,1,plurality,0.0,7,12
0.925,10000,2,1,plurality,0.0,7,22
5.499,10000,2,1,plurality,0.0,8,2
1.054,10000,2,1,plurality,0.0,8,12
0.951,10000,2,1,plurality,0.0,8,22
0.911,10000,2,1,plurality,0.0,9,2
0.951,10000,2,1,plurality,0.0,9,12
1.154,10000,2,1,plurality,0.0,9,22
0.751,10000,2,1,plurality,0.0,10,2
1.152,10000,2,1,plurality,0.0,10,12
0.951,10000,2,1,plurality,0.0,10,22
1.16,10000,2,1,plurality,0.01,2,2
1.174,10000,2,1,plurality,0.01,2,12
0.916,10000,2,1,plurality,0.01,2,22
0.809,10000,2,1,plurality,0.01,3,2
1.168,10000,2,1,plurality,0.01,3,12
0.912,10000,2,1,plurality,0.01,3,22
0.882,10000,2,1,plurality,0.01,4,2
1.247,10000,2,1,plurality,0.01,4,12
0.941,10000,2,1,plurality,0.01,4,22
0.987,10000,2,1,plurality,0.01,5,2
1.01,10000,2,1,plurality,0.01,5,12
